Image link (comma seperated),Item (EN),Description (EN),Category/Department (EN),item Categories,Variant Name,SKW -  input(),SKW - OLLAMA(),DSW -  input(),DSW - OLLAMA(),Ai Attributes -  input(),Ai Attributes - OLLAMA(),Item Subcategories,Shopping Subcategories,,Shoiping categories,Variation Price (Incl. VAT EGP)
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/02674A70-DEC2-4ED9-BBBC-2B0EDA53EA32.jpg?v=1731173128, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/D18EFF4B-FB3A-4289-A5E3-BF72D5B53B47.jpg?v=1731533634, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/82593DD2-F079-425F-914D-AEE15A6524CA.jpg?v=1731173128, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/4C53BE80-229A-401E-993C-795569AB9879.jpg?v=1731173128, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/DE690792-5F5F-48FF-95D3-E534ADA46F54.jpg?v=1731173128",1920S ANTIQUE MONETE ROMAN IMPERIAL COIN 18K BOLD RING,,All Collection,ring,,"Item name: 1920S ANTIQUE MONETE ROMAN IMPERIAL COIN 18K BOLD RING
Vendor Category: All Collection","Here are five shopping keyword phrases for the given item:

1. Gold Antique Ring
2. Roman Empire Coin Ring
3. Bold Sterling Silver Ring
4. Vintage Monete Style Ring
5. 18k Gold Imperial Ring","Item name: 1920S ANTIQUE MONETE ROMAN IMPERIAL COIN 18K BOLD RING
Vendor Category: All Collection",#ERROR!,"Item name: 1920S ANTIQUE MONETE ROMAN IMPERIAL COIN 18K BOLD RING
Vendor Category: All Collection
Item Category: ring",#ERROR!,,jewelry,,fashion,0
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/B791A305-5FA3-42F5-9F37-056F38C3EC16.jpg?v=1751842749, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/0CF581B3-67CE-4ECE-9E5D-AD81C7EE7B29.jpg?v=1751842749, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/EF144707-5720-4CCC-BABB-6E556B46D7F5.jpg?v=1751842723",1938 Royal Wedding Pin – King Farouk & Queen Farida Of Egypt – Photographic Memento – Historical Royalty Badge,Not available for international shipping,Gentlemen’S Collection,broche,,"Item name: 1938 Royal Wedding Pin – King Farouk & Queen Farida Of Egypt – Photographic Memento – Historical Royalty Badge
Vendor Category: Gentlemen’S Collection",,"Item name: 1938 Royal Wedding Pin – King Farouk & Queen Farida Of Egypt – Photographic Memento – Historical Royalty Badge
Description: Not available for international shipping
Vendor Category: Gentlemen’S Collection",,"Item name: 1938 Royal Wedding Pin – King Farouk & Queen Farida Of Egypt – Photographic Memento – Historical Royalty Badge
Description: Not available for international shipping
Vendor Category: Gentlemen’S Collection
Item Category: broche",,,jewelry,,fashion,4200
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/64C9CDCB-77D5-4268-BB57-D43BFF43FEB6.jpg?v=1751930058, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/CEFA123D-E0DC-490D-8AB7-F65C540EB5FA.jpg?v=1751930058",1950S-1970S Era W Germany Cherry Red Faceted Bead Double Strand Choker Necklace,,All Collection,necklace,,"Item name: 1950S-1970S Era W Germany Cherry Red Faceted Bead Double Strand Choker Necklace
Vendor Category: All Collection",,"Item name: 1950S-1970S Era W Germany Cherry Red Faceted Bead Double Strand Choker Necklace
Vendor Category: All Collection",,"Item name: 1950S-1970S Era W Germany Cherry Red Faceted Bead Double Strand Choker Necklace
Vendor Category: All Collection
Item Category: necklace",,,jewelry,,fashion,5200
https://cdn.shopify.com/s/files/1/0651/8302/3149/files/CE439F53-80C4-467C-818E-2C4449E48CE5.jpg?v=1750855856,1960S Vintage Black & Grey Daisy Flower Brooch – Bold Plastic Floral Pin – Retro Statement Jewelry,,All Collection,broche,,"Item name: 1960S Vintage Black & Grey Daisy Flower Brooch – Bold Plastic Floral Pin – Retro Statement Jewelry
Vendor Category: All Collection",,"Item name: 1960S Vintage Black & Grey Daisy Flower Brooch – Bold Plastic Floral Pin – Retro Statement Jewelry
Vendor Category: All Collection",,"Item name: 1960S Vintage Black & Grey Daisy Flower Brooch – Bold Plastic Floral Pin – Retro Statement Jewelry
Vendor Category: All Collection
Item Category: broche",,,jewelry,,fashion,1155
https://cdn.shopify.com/s/files/1/0651/8302/3149/files/FB02F877-D9A1-43EE-A62D-CF0D8E6313C7.jpg?v=1750723962,"1970S Gold-Plated Fish Stud Earrings – Made In England, Vintage Charm",,All Collection,earring,,"Item name: 1970S Gold-Plated Fish Stud Earrings – Made In England, Vintage Charm
Vendor Category: All Collection",,"Item name: 1970S Gold-Plated Fish Stud Earrings – Made In England, Vintage Charm
Vendor Category: All Collection",,"Item name: 1970S Gold-Plated Fish Stud Earrings – Made In England, Vintage Charm
Vendor Category: All Collection
Item Category: earring",,,jewelry,,fashion,2250
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/788E2995-C5C4-4C0E-82E1-66DDF9C63FC4.jpg?v=1749740567, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/2854C5FF-5FF0-46CF-A264-09FEDE233325.jpg?v=1749740567, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/CE61D362-9069-4CF7-960E-C36576331EDF.jpg?v=1749740567, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/C0770F30-636B-4377-8490-7A750CE36E5D.jpg?v=1749740567",1970S Heraldic Gold Tone Rhinestone Fleur-De-Lis Crescent Heart Shield Brooch,,STEAL THE LOOK,broche,,"Item name: 1970S Heraldic Gold Tone Rhinestone Fleur-De-Lis Crescent Heart Shield Brooch
Vendor Category: STEAL THE LOOK",,"Item name: 1970S Heraldic Gold Tone Rhinestone Fleur-De-Lis Crescent Heart Shield Brooch
Vendor Category: STEAL THE LOOK",,"Item name: 1970S Heraldic Gold Tone Rhinestone Fleur-De-Lis Crescent Heart Shield Brooch
Vendor Category: STEAL THE LOOK
Item Category: broche",,,jewelry,,fashion,2495
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/1088C689-5C16-4C7E-BA8D-1E30BA6A4C4F.jpg?v=1751815961, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/A589D6E4-ECAD-4371-BF0B-FCF74525B605.jpg?v=1751815961",1970S Vintage British Designer – Sleeping Cat Motif Brooch,"Feminine • Elegance • Sophistication
Discover handcrafted jewelry that blends vintage charm with contemporary elegance. Designed for the woman who loves to stand out effortlessly.",All Collection,broche,,"Item name: 1970S Vintage British Designer – Sleeping Cat Motif Brooch
Vendor Category: All Collection",,"Item name: 1970S Vintage British Designer – Sleeping Cat Motif Brooch
Description: Feminine • Elegance • Sophistication
Discover handcrafted jewelry that blends vintage charm with contemporary elegance. Designed for the woman who loves to stand out effortlessly.
Vendor Category: All Collection",,"Item name: 1970S Vintage British Designer – Sleeping Cat Motif Brooch
Description: Feminine • Elegance • Sophistication
Discover handcrafted jewelry that blends vintage charm with contemporary elegance. Designed for the woman who loves to stand out effortlessly.
Vendor Category: All Collection
Item Category: broche",,,jewelry,,fashion,2650
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/C06FF392-2939-4CD1-8994-B91DE126DDDC.jpg?v=1750285194, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/78FE7AEE-9862-4E34-A66D-4787BF377136.jpg?v=1750285194, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/F99E626C-AA16-4E5A-9E19-2F24D9C67B56.jpg?v=1750285194, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/CD1811AE-6279-403A-96ED-475D5BB46381.jpg?v=1750285194, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/071046A5-8B06-404B-9D1A-E455A28674D8.jpg?v=1750285194, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/ACBA3970-D4FE-4EF2-92A4-73761E57BD30.jpg?v=1750285194",1980S Vintage Door Knocker Clip-On Earrings – Triple Gold Plated,"Wear history with style—VINTAGE LANE crafts exquisite luxury costume jewelry, where vintage elegance meets modern sophistication, creating timeless pieces that embody heritage, artistry, and refined glamour.",All Collection,earring,,"Item name: 1980S Vintage Door Knocker Clip-On Earrings – Triple Gold Plated
Vendor Category: All Collection",,"Item name: 1980S Vintage Door Knocker Clip-On Earrings – Triple Gold Plated
Description: Wear history with style—VINTAGE LANE crafts exquisite luxury costume jewelry, where vintage elegance meets modern sophistication, creating timeless pieces that embody heritage, artistry, and refined glamour.
Vendor Category: All Collection",,"Item name: 1980S Vintage Door Knocker Clip-On Earrings – Triple Gold Plated
Description: Wear history with style—VINTAGE LANE crafts exquisite luxury costume jewelry, where vintage elegance meets modern sophistication, creating timeless pieces that embody heritage, artistry, and refined glamour.
Vendor Category: All Collection
Item Category: earring",,,jewelry,,fashion,4450
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/06572B1B-D0C6-4398-9B1D-123C8A6BCB39.jpg?v=1756002047, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/D55EEA6E-7B65-40C8-A3B9-ECEB0378B938.jpg?v=1756002047",1980S Vintage Napier Gold Tone Accents And Faux Pearl Beads Two-Strand Necklace,,NECKLACES,necklace,,"Item name: 1980S Vintage Napier Gold Tone Accents And Faux Pearl Beads Two-Strand Necklace
Vendor Category: NECKLACES",,"Item name: 1980S Vintage Napier Gold Tone Accents And Faux Pearl Beads Two-Strand Necklace
Vendor Category: NECKLACES",,"Item name: 1980S Vintage Napier Gold Tone Accents And Faux Pearl Beads Two-Strand Necklace
Vendor Category: NECKLACES
Item Category: necklace",,,jewelry,,fashion,6880
"https://cdn.shopify.com/s/files/1/0651/8302/3149/files/FullSizeRender_9f95f4d2-b331-474f-835c-990c2ffe1341.jpg?v=1740066457, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/FullSizeRender_9225ace6-ad39-4e2a-a083-ba8de4f50367.jpg?v=1740066457, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/FullSizeRender_8877ea10-5f00-4cac-9e28-1d26346ae711.jpg?v=1740147316, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/FullSizeRender_09404528-7418-420e-8a0f-7b25cf5397ed.jpg?v=1740147316, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/0DD2501D-1D53-47DD-99D3-254702568191.jpg?v=1740147316, https://cdn.shopify.com/s/files/1/0651/8302/3149/files/FullSizeRender_23041abf-4ead-4d97-b68e-2e438088924b.jpg?v=1740147316","90S Power Glam, Bold Gold Elegance","Feminine • Elegance • Sophistication
Discover handcrafted jewelry that blends vintage charm with contemporary elegance. Designed for the woman who loves to stand out effortlessly.",STEAL THE LOOK,earring,,"Item name: 90S Power Glam, Bold Gold Elegance
Vendor Category: STEAL THE LOOK",,"Item name: 90S Power Glam, Bold Gold Elegance
Description: Feminine • Elegance • Sophistication
Discover handcrafted jewelry that blends vintage charm with contemporary elegance. Designed for the woman who loves to stand out effortlessly.
Vendor Category: STEAL THE LOOK",,"Item name: 90S Power Glam, Bold Gold Elegance
Description: Feminine • Elegance • Sophistication
Discover handcrafted jewelry that blends vintage charm with contemporary elegance. Designed for the woman who loves to stand out effortlessly.
Vendor Category: STEAL THE LOOK
Item Category: earring",,,jewelry,,fashion,0
