Item (EN),Category/Department (EN),Description (EN),Variant Name
Prunes with Pits Jampo,Dried Fruits,,100 g
Dried Apricots,Dried Fruits,,250 g
Almonds Halves,Nuts,,500 g
Dried Pineapple,Dried Fruits,,1 kg
Steamed Cashew,Nuts,,100g
Steamed Cashew,Nuts,,500g
Yemeni Mountain Honey,Honey,,250 g
Protein Bar Banana with Cashew - 70 g,Healthy Food,,
Prunes Juice 1 L,Juices,,
Abu Auf Steamed Pistachio,Nuts,,500 g
Munchies Chili Flavor,Crackers,,500 g
Cashews with Smoked Flavor,Nuts,,1 kg
Sliced Almonds,Nuts,,250 g
Medium Roasted Blended Brazilian Coffee,Coffee,,200 g
Medium Roasted Blended Turkish Coffee - 250 g,Coffee,,
Milk Benson Bonbon - 250 gr,Sweets,,
Bag Pretzel with Cheese Flavor - 30 gr - 12 Bag,Offers,,default
Salted & Roasted Peanut 300 gr,Crackers,,default
Bundle Earl Gray Tea (2 Box - 24 Packet),Tea,,default
Bundle Detox Tea (2 Box - 24 Packet),Tea,,default
