Item (EN),Category/Department (EN),Description (EN),Variant Name
 ISBN: 978-977-278-7708.,,,
 Release year: 2020.,,,
The Circle of Illusions,Novel,Author: Asmaa Mohsen.,
 Al-Bashir House of Culture.,رواية,,
 ISBN: 978-977-855-6858.,,,
Bloody Sands,Novel,Author: Muhammad Al-Badawi.,
The Legend of Death and Destruction,Novel,Author: Dr. Ahmed Al-Saeed Murad/Samia Ahmed,
 Al-bashir house of culture.,رواية,,
 Release year: 2017.,,,
 ISBN: 978-977-278-5384.,,,
 ISBN: 978-977-868-8818.,,,
 Release year: 2024.,,,
 Al-Bashir House of Culture.,تنمية اسرية,,
 ISBN: 978-977-278-8903.,,,
The Bank of Emotions,Family Development,Author: Nabil Al-Saqqa.,
 Release year: 2021.,,,
 ISBN: 978-977-278-7616.,,,
 Al-Bashir House of Culture.,تنمية أسرية,,
"Education: An Art, Pleasure, and Message",Family Development,Author: Wesal Taqqa.,
 ISBN: 978-977-278-4615.,,,
