Item (EN),Category/Department (EN),Description (EN),Variant Name
Glimmering Serpent Wide-Leg Pants,Bottoms,These stylish wide - leg pants are crafted from textured metallic faux snake skin fabric and feature two practical pockets for added convenience.,
 Color: Emerald green.,S-36,,
Glimmering Serpent Wide-Leg Pants,Bottoms,These stylish wide - leg pants are crafted from textured metallic faux snake skin fabric and feature two practical pockets for added convenience.,
 Materials: Metallic faux snake skin.,,,
Flared Sequined Cut-Out Pants,Bottoms,"Step into the spotlight with our stunning flared sequins cut-out pants. Designed for those who love to make a statement, these pants combine the glamour of sequins with a bold, fashion-forward silhouette.
 Materials: Sequins
 Care Instructions: Dry Clean / Gentle Wash
 Color: Silverish Gold",L-40
Jora Jacket,Tops,"Presenting our multi - colored reflective sequined jacket, adorned with ribbed cuffs and collar for a stylish touch. This chic and comfortable jacket features two convenient pockets and is the perfect choice for nighttime music festivals, brilliantly reflecting lights for a dazzling effect.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Sequins.
 Care instructions: Dry Clean / gentle wash.",M
Juja Bralette,Tops,"Introducing our multi - colored sequins bralette, perfect for shining at any party. With dazzling sequins and a comfortable fit, this bralette ensures you stand out all night long.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Sequins.
 Size: Small A"" / medium ""B"" / large ""C"".",
" Care instructions: Dry clean / gentle wash.""",M,,
" Care instructions: Dry clean / gentle wash.""",L,,
" Care instructions: Gentle wash.""",L,,
" Care instructions: Gentle wash.""",S,,
" Care instructions: Dry clean / gentle wash.""",S,,
Paro Bralette,Tops,"Introducing our Silverish Pink Sequins Bralette, perfect for shining at any party. With dazzling sequins and a comfortable fit, this bralette ensures you stand out all night long.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Sequins
 Size: Small A"" / medium ""B"" / large ""C"".",
" Care instructions: Dry clean / gentle wash.""",L,,
 *This item can be customized in various colors and sizes to suit your personal preferences.,,,
 Care instructions: Dry clean / gentle wash.,L,,
Alova Top,Tops,"Presenting our elegant off-shoulder cut-out top in a glittery gold hue, designed with long sleeves. This sophisticated piece is perfect for adding a touch of sparkle to your night out, ensuring you shine with timeless glamour.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Glittery lycra jersey.
 Size: Waist 34 / bust 40 / sleeve length 55.
 Care instructions: Dry clean / gentle wash.",L
Gold Pam Shorts,Bottoms,"Introducing our dazzling Gold Metallic High Waisted Shorts – perfect for your next party affair. Featuring a detachable belt and two handy pockets, these shorts effortlessly combine glamour with practicality. Elevate your party ensemble and steal the spotlight with this essential statement piece.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Metallic poly pleated black & gold non stretchy fabric.
 Size: waist 40 / length 38.
 Care instructions: Dry clean / gentle wash.",Medium/38
Glitter Glam Slit Pants,Bottoms,"Shimmer and sway in our glittery lycra flared pants, designed to catch every eye. Crafted from high-quality lycra fabric, these pants offer a sleek, form-fitting silhouette that accentuates your curves. The glittery finish adds a touch of sparkle, making them perfect for evening outings or dance floors. Featuring two chic side slits for added movement and style, these pants blend comfort with glamour effortlessly. Elevate your wardrobe with a pair that promises both flair and versatility.
 *This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Glitter lycra.
 Care instructions: Dry clean / gentle wash.
 Color: Dark grey.",Small 36
Emerald Pleated Flare Skirt,Skirt,"Turn heads at your next night out or beach party with the emerald pleated flare skirt.
 Crafted from shimmering green fabric, this skirt offers a luxurious, statement-making look that shines under evening lights.
 The pleated flare design provide both elegance and dynamic movement, perfect for dancing or simply making an entrance.
 Whether you're at an upscale event or a laid-back beach gathering, this skirt adds a touch of glamour to any occasion.
 This item can be customized in various colors and sizes to suit your personal preferences.
 Materials: Glittery lycra.
 Care instructions: Dry clean / gentle wash.
 Color: Emerald green.",L
