Item (EN),Category/Department (EN),Description (EN),Variant Name
Greeting Cards,Greeting Cards,Choose from our variety of handmade greeting cards designed with 1 dried flower at the front. The inside has an empty kraft card to write your message. It also comes with an envelope.,Blue + Yellow
Greeting Cards,Greeting Cards,Choose from our variety of handmade greeting cards designed with 1 dried flower at the front. The inside has an empty kraft card to write your message. It also comes with an envelope.,White + Pink
Greeting Cards,Greeting Cards,Choose from our variety of handmade greeting cards designed with 1 dried flower at the front. The inside has an empty kraft card to write your message. It also comes with an envelope.,White + Purple
Greeting Cards,Greeting Cards,Choose from our variety of handmade greeting cards designed with 1 dried flower at the front. The inside has an empty kraft card to write your message. It also comes with an envelope.,Pink + White
Greeting Cards,Greeting Cards,Choose from our variety of handmade greeting cards designed with 1 dried flower at the front. The inside has an empty kraft card to write your message. It also comes with an envelope.,Blue + White
The Procyon Arrangement,Vase Arrangements,A mix of dried flowers in our unique shaped terra cotta vase.,
Dried flowers last between 1 -3 years. (Vase Included),Mixed Colors,,
Dried flowers last between 1 - 3 years. (Vase Included),Mixed colors,,
The Lintag Arrangement,Vase Arrangements,A mix of dried flowers in our mint green vase is ideal for someone who likes a pop of color.,
Dried flowers last between 1 - 3 years. (Vase Included),mixed colors,,
Dried flowers last between 1 - 3 years. (Vase included),Pink and white,,
The Astro Arrangement,Vase Arrangements,"A mix of pink, purple and white dried flowers in our leaf pattern white vase.
Dried flowers last between 1 - 3 years. (Vase Included)",Pink and purple and white
The Capella Arrangement,Vase Arrangements,A mix of yellow dried flowers with scented eucalyptus placed in our pink glazed vase.,
Dried flowers last between 1 - 3 years. (Vase Included),yellow and pink and green,,
The Contrail Bunch,Dried Flower Bouquets,A mix of dried flowers with pampas grass.,
Dried flowers last between 1 - 3 years.,Mixed Colors,,
Dried flowers last between 1 - 3 years.,Mixed colors,,
The Lynx Arrangement,Vase Arrangements,The Lynx Arrangement is perfect for those who like neutral and earth tones placed in our unique white vase. Dried flowers last between 1 - 3 years.,default
The Solaris Arrangement,Vase Arrangements,A mix of dried flowers in our white stoneware vase. Dried flowers last between 1 - 3 years.,default
The Alzir Arrangement,Vase Arrangements,A mix of dried flowers in our white glazed vase is ideal for someone who likes a pop of color. Dried flowers last between 1 - 3 Years.,default
