Item (EN),Category/Department (EN),Description (EN),Variant Name
CORE Roller Pen TCN Petrol * Black,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Rapid Pro Mechanical Pencil 0.5 mm Chrome No. 1904256,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Mechanical Pencil 0.7 mm 600 Silver No. 1904445,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Pencil 0.7 mm No. 800 Silver SO 1904449,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Mechanical Pencil 500 0.7 mm Black No. 2186327,"Pens, Pencils & Writing Supplies",,Standard Size
Visoclick Transparent 0.7 mm Pencil Card + HB Leads No. 2102714,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Lettering Template Metal Edge 2.5 mm,Engineering Tools,,Standard Size
Rotring Pen 2.0 mm No. 320-1904729-SO207301,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Leads Box 0.3 mm HB No. SO312411,"Pens, Pencils & Writing Supplies",,Standard Size
Rotring Single Compass with Extension No. 118 SO214391,Engineering Tools,,Standard Size
Rotring Single Compass with Wheel Lux No. SO233601/R136,Engineering Tools,,Standard Size
Rotring Single Compass Black No. 531,Engineering Tools,,Standard Size
Rotring Isograph Ink Nib 0.13 mm SO217941,"Pens, Pencils & Writing Supplies",,Standard Size
Tikky Graphic Pen 0.5 mm Brown No. SO770460 - 1904692,"Pens, Pencils & Writing Supplies",,Standard Size
Polychromos Colored Pencil Set 24 Colors FC,Art Supplies,,Standard Size
Polychromos Pencil Set in Wooden Box /72 No. 110073,Art Supplies,,Standard Size
Classic Colour Set 18 + 6 Pastel + Sticker /24 Cardboard Box “Unicorn” No. 111221,Art Supplies,,Standard Size
FC Jumbo Sparkle Pencil with Glitter and No. 111612,"Pens, Pencils & Writing Supplies",,Standard Size
Sparkle Jumbo Pencil Set + Double Hole Sharpener with Container + Eraser in Case /3 pcs No. 111682,Art Supplies,,Standard Size
Notepad + Pad Rhodia Stapled 8.5 x 12 cm Size 12 80 gsm 80 Sheets Leather Cover Black No 218129C,Office Supplies,,Standard Size
