Item (EN),Category/Department (EN),Description (EN),Variant Name
Microsoft Office 365 Personal,Mac,Mac accessories.,Microsoft
JBL Boombox 2 Black,Accessories,Headphones & speakers.,JBL
Apple USB-C to USB Adapter,Accessories,iPad accessories.,Apple
JBL T110 - Black,Accessories,Headphones & speakers.,JBL
"13-inch MacBook Air M2 - Midnight, 256GB",Mac,MacBook Air.,Apple
JBL Xtreme 3 Portable Waterproof Speaker - Blue,Accessories,Headphones & speakers.,JBL
Bose SoundLink Revolve Plus Speaker - Black,Accessories,Headphones & speakers.,Bose
Griffin Survivor iPhone 12 | 12 Pro Clear for Sophomore - Black,Accessories,iPhone accessories.,Griffin
"iPad 9th Generation Wifi - Space Grey, 64GB, Wifi Only",iPad,iPad.,Apple
Apple Earpods with Lightning Connector,Accessories,iPad accessories.,Apple
JBL Xtreme 3 Portable Waterproof Speaker - Camouflage,Accessories,Headphones & speakers.,JBL
PopSockets Avenger,Accessories,iPhone accessories.,PopSockets
Viva Madrid Airfit Duro Slim for iPhone 7 Back Case - Clear,Accessories,iPhone accessories.,Viva Madrid
"iPad Air - Space Grey, 64GB, Wifi Only",iPad,iPad Air.,Apple
BuddyPhones Play Blue Glacier,Accessories,Headphones & speakers.,BuddyPhones
Deep Navy Sport Band \u2013 Regular,Accessories,Apple watch accessories.,Apple
Uniq Coehl Ciel Airpods Pro Case - Sunset Pink (Pink),Accessories,Airpods accessories.,Uniq
Q.Led Flex Mini Lamp with Wireless Charging Base - White,Accessories,iPhone accessories.,Momax
JBL Flip 6 - Black,Accessories,Headphones & speakers.,JBL
JBL Pulse 4 White,Accessories,Headphones & speakers.,JBL
