Item (EN),Category/Department (EN),Description (EN),Variant Name
Advochol 10 mg 28 Tablets,Medicine,,
Alzental 200 mg 6 Tablets,Medicine,,
Amaryl 4 mg 30 Tablets,Medicine,,
Andopentene 300 mg 20 Tablets,Medicine,,
Aripiprazole 5 mg 30 Tablets,Medicine,,
Atacand 4 mg 14 Tablets,Medicine,,
Atorstat 40 mg 14 Tablets,Medicine,,
Beclosone Forte 200 Metered,Medicine,,
Brufen 600 mg 30 Tablets,Medicine,,
Butaximark Cream 15 ml,Medicine,,
Candalkan 16 mg 14 Tablets,Medicine,,
Cardura 4 mg 14 Tablets,Medicine,,
Congestal Syrup,Medicine,,
Conventin 800 mg 30 Capsules,Medicine,,
Desa 5 mg 20 Tablets,Medicine,,
Dimra 20 Tablets,Medicine,,
Eflotism Cream 15 gm,Medicine,,
Epicophylline Phenobarbitone Syrup,Medicine,,
Evaculax Capsules,Medicine,,
Examide 5 mg 30 Tablets,Medicine,,
