"source","Item (EN)","Category/Department (EN)","Description (EN)","Variant Name"
"Abu Auf - groceries","Golden Raisins","Dried Fruits","","500 g"
"Abu Auf - groceries","Egyptian Rasins","Dried Fruits","","1 kg"
"Abu Auf - groceries","Raw Peeled Pistachios","Nuts","","100 g"
"Abu Auf - groceries","Pistachios with Barbecue Flavor","Nuts","","500 g"
"Abu Auf - groceries","Raw Almond","Nuts","","500 g"
"Abu Auf - groceries","Prunes with Pits Jampo","Dried Fruits","","100 g"
"Abu Auf - groceries","Chocolate Stones","Sweets","","500 g"
"Abu Auf - groceries","Dark Roasted Plain Turkish Coffee - 250 g","Coffee","",""
"Abu Auf - groceries","Sliced Dried Mango without Sugar","Dried Fruits","","1 kg"
"Abu Auf - groceries","M&M Chocolate","Sweets","","1 kg"
"Abu Auf - groceries","Sliced Almonds","Nuts","","100 g"
"Abu Auf - groceries","M&M Chocolate","Sweets","","100 g"
"Abu Auf - groceries","English Breakfast Tea 20 Packet","Tea","",""
"Abu Auf - groceries","Golden Raisins","Dried Fruits","","1 kg"
"Abu Auf - groceries","Roasted Salted Egyptian Corn","Crackers","","1 kg"
"Abu Auf - groceries","Dried Apricots","Dried Fruits","","250 g"
"Abu Auf - groceries","Biscuits with Pizza Flavor - 80 gr","Crackers","","default"
"Abu Auf - groceries","Maamoul Dates & Cinnamon Box","Sweets","Packed : 12 Packet",""
"Abu Auf - groceries","Cranberry","Dried Fruits","","500 g"
"Abu Auf - groceries","Roasted Cashew - 275 gr","Offers","","default"
"Abu Auf - groceries","Abu Auf Macadamia with Cheese Flavor","Nuts","","500 g"
"Abu Auf - groceries","Salted Macadamia","Nuts","","100 g"
"Abu Auf - groceries","Roasted Pistachios - 175 gr","Nuts","",""
"Abu Auf - groceries","Goji Berries","Dried Fruits","","100 g"
"Abu Auf - groceries","Raw Cashews","Nuts","","1kg"
"Abu Auf - groceries","Ketchup Peanuts","Crackers","","250 g"
"Abu Auf - groceries","Roasted Hazelnuts without Salt","Nuts","","100 g"
"Abu Auf - groceries","Munchies Chili Flavor - 225 gr","Crackers","",""
"Abu Auf - groceries","Biscuit with Cheese","Crackers","","1 kg"
"Abu Auf - groceries","Liquorice Benson Bonbon - 250 gr","Sweets","",""
